Id,YearBuilt,YearRemodAdd,YrSold,Time_Grg,LotFrontage,LotArea,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,SalePrice,LotShape,LandSlope,HouseStyle,OverallQual,OverallCond,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,HeatingQC,KitchenQual,FireplaceQu,GarageQual,GarageCond,PoolQC,Fence,MSZoning,Street,LandContour,Utilities,LotConfig,Neighborhood,Condition1,Condition2,BldgType,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,Foundation,Heating,CentralAir,Functional,PavedDrive,SaleType,SaleCondition,Alley,BsmtFinType1,BsmtFinType2,GarageType,GarageFinish,MiscFeature,MasVnrType,Electrical,MSSubClass
1,2003,2003,2008,5,65.0,8450,196.0,706,0,150,856,856,854,0,1710,1,0,2,1,3,1,8,0,2,548,0,61,0,0,0,0,0,2,208500,Reg,Gtl,2Story,7,5,Gd,TA,Gd,TA,No,Ex,Gd,NA,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,Inside,CollgCr,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,Y,Typ,Y,WD,Normal,NA,GLQ,Unf,Attchd,RFn,NA,BrkFace,SBrkr,60
2,1976,1976,2007,31,80.0,9600,0.0,978,0,284,1262,1262,0,0,1262,0,1,2,0,3,1,6,1,2,460,298,0,0,0,0,0,0,5,181500,Reg,Gtl,1Story,6,8,TA,TA,Gd,TA,Gd,Ex,TA,TA,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,FR2,Veenker,Feedr,Norm,1Fam,Gable,CompShg,MetalSd,MetalSd,CBlock,GasA,Y,Typ,Y,WD,Normal,NA,ALQ,Unf,Attchd,RFn,NA,None,SBrkr,20
3,2001,2002,2008,7,68.0,11250,162.0,486,0,434,920,920,866,0,1786,1,0,2,1,3,1,6,1,2,608,0,42,0,0,0,0,0,9,223500,IR1,Gtl,2Story,7,5,Gd,TA,Gd,TA,Mn,Ex,Gd,TA,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,Inside,CollgCr,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,Y,Typ,Y,WD,Normal,NA,GLQ,Unf,Attchd,RFn,NA,BrkFace,SBrkr,60
4,1915,1970,2006,8,60.0,9550,0.0,216,0,540,756,961,756,0,1717,1,0,1,0,3,1,7,1,3,642,0,35,272,0,0,0,0,2,140000,IR1,Gtl,2Story,7,5,TA,TA,TA,Gd,No,Gd,Gd,Gd,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,Corner,Crawfor,Norm,Norm,1Fam,Gable,CompShg,Wd Sdng,Wd Shng,BrkTil,GasA,Y,Typ,Y,WD,Abnorml,NA,ALQ,Unf,Detchd,Unf,NA,None,SBrkr,70
5,2000,2000,2008,8,84.0,14260,350.0,655,0,490,1145,1145,1053,0,2198,1,0,2,1,4,1,9,1,3,836,192,84,0,0,0,0,0,12,250000,IR1,Gtl,2Story,8,5,Gd,TA,Gd,TA,Av,Ex,Gd,TA,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,FR2,NoRidge,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,Y,Typ,Y,WD,Normal,NA,GLQ,Unf,Attchd,RFn,NA,BrkFace,SBrkr,60
6,1993,1995,2009,16,85.0,14115,0.0,732,0,64,796,796,566,0,1362,1,0,1,1,1,1,5,0,2,480,40,30,0,320,0,0,700,10,143000,IR1,Gtl,1.5Fin,5,5,TA,TA,Gd,TA,No,Ex,TA,NA,TA,TA,NA,MnPrv,RL,Pave,Lvl,AllPub,Inside,Mitchel,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,Wood,GasA,Y,Typ,Y,WD,Normal,NA,GLQ,Unf,Attchd,Unf,Shed,None,SBrkr,50
7,2004,2005,2007,3,75.0,10084,186.0,1369,0,317,1686,1694,0,0,1694,1,0,2,0,3,1,7,1,2,636,255,57,0,0,0,0,0,8,307000,Reg,Gtl,1Story,8,5,Gd,TA,Ex,TA,Av,Ex,Gd,Gd,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,Inside,Somerst,Norm,Norm,1Fam,Gable,CompShg,VinylSd,VinylSd,PConc,GasA,Y,Typ,Y,WD,Normal,NA,GLQ,Unf,Attchd,RFn,NA,Stone,SBrkr,20
8,1973,1973,2009,36,75.6,10382,240.0,859,32,216,1107,1107,983,0,2090,1,0,2,1,3,1,7,2,2,484,235,204,228,0,0,0,350,11,200000,IR1,Gtl,2Story,7,6,TA,TA,Gd,TA,Mn,Ex,TA,TA,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,Corner,NWAmes,PosN,Norm,1Fam,Gable,CompShg,HdBoard,HdBoard,CBlock,GasA,Y,Typ,Y,WD,Normal,NA,ALQ,BLQ,Attchd,RFn,Shed,Stone,SBrkr,60
9,1931,1950,2008,77,51.0,6120,0.0,0,0,952,952,1022,752,0,1774,0,0,2,0,2,2,8,2,2,468,90,0,205,0,0,0,0,4,129900,Reg,Gtl,1.5Fin,7,5,TA,TA,TA,TA,No,Gd,TA,TA,Fa,TA,NA,NA,RM,Pave,Lvl,AllPub,Inside,OldTown,Artery,Norm,1Fam,Gable,CompShg,BrkFace,Wd Shng,BrkTil,GasA,Y,Min1,Y,WD,Abnorml,NA,Unf,Unf,Detchd,Unf,NA,None,FuseF,50
10,1939,1950,2008,69,50.0,7420,0.0,851,0,140,991,1077,0,0,1077,1,0,1,0,2,2,5,2,1,205,0,4,0,0,0,0,0,1,118000,Reg,Gtl,1.5Unf,5,6,TA,TA,TA,TA,No,Ex,TA,TA,Gd,TA,NA,NA,RL,Pave,Lvl,AllPub,Corner,BrkSide,Artery,Artery,2fmCon,Gable,CompShg,MetalSd,MetalSd,BrkTil,GasA,Y,Typ,Y,WD,Normal,NA,GLQ,Unf,Attchd,RFn,NA,None,SBrkr,190
11,1965,1965,2008,43,70.0,11200,0.0,906,0,134,1040,1040,0,0,1040,1,0,1,0,3,1,5,0,1,384,0,0,0,0,0,0,0,2,129500,Reg,Gtl,1Story,5,5,TA,TA,TA,TA,No,Ex,TA,NA,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,Inside,Sawyer,Norm,Norm,1Fam,Hip,CompShg,HdBoard,HdBoard,CBlock,GasA,Y,Typ,Y,WD,Normal,NA,Rec,Unf,Detchd,Unf,NA,None,SBrkr,20
12,2005,2006,2006,1,85.0,11924,286.0,998,0,177,1175,1182,1142,0,2324,1,0,3,0,4,1,11,2,3,736,147,21,0,0,0,0,0,7,345000,IR1,Gtl,2Story,9,5,Ex,TA,Ex,TA,No,Ex,Ex,Gd,TA,TA,NA,NA,RL,Pave,Lvl,AllPub,Inside,NridgHt,Norm,Norm,1Fam,Hip,CompShg,WdShing,Wd Shng,PConc,GasA,Y,Typ,Y,New,Partial,NA,GLQ,Unf,BuiltIn,Fin,NA,Stone,SBrkr,60
